,Supplier Name,Name,Supplier Mobile,Company Type,O Address,O City,O Street,O State,O Pincode,Kyc Verified,Gstin,manufacturing_process,manufacturing_sub_process,machine_name,id,Maximum Turning Diameter in mm,Maximum Turning Length in mm,Brand,Quantity (No. of Machines),Bed Size - X in mm,Bed Size - Y in mm,No of Axes,Bed Size - Z in mm,Quantity,Swing over bed in mm(Maximum Diameter),Distance between Centres in mm (Maximum Length),Minimum Drill Diameter in mm,Minimum Drill length in mm,Maximum Drill Diameter in mm,Maximum Drill length in mm,Tonnage,Working Length in mm,Type of Gas used,Minimum cutting thickness in mm,Maximum cutting thickness in mm,Strokes per minute (SPM),Coil Feedeer (Yes/No),Layer Thickness in mm,Accuracy,Minimum Tap size in mm,Maximum Tap length in mm,Maximum Tap size in mm,Minimum Tap length in mm,Minimum Opening in inch,Minimum injection pressure in PSI,Maximum Opening in inch,Maximum shot weight in grams,Machine Orientation,Maximum injection pressure in PSI,Maximum Stroke in inch,Capacity in Tonnage,Actuation Type,Clamping Force,Minimum shot weight in grams,Minimum Stroke in inch,Max MS Thickness (O2) in mm,Max SS Thickness (N2) in mm,Max Brass Thickness in mm,Dual Pallet Changer (Yes/No),Max Aluminium Thickness (N2) in mm,Max MS Thickness (N2) in mm,Max Copper Thickness in mm
204,Fortune Knock Technology Ltd.,danielwu@fortuneknock.com,8613715133691,Manufacturer,"A1103-2, Building#4,Tianan Cyber Park",Shenzhen,Longgang Town,Guangdong,518172,0,3185735,CNC Machining,Turning,Conventional Lathe,c72e96bc-be56-4468-9141-4b7e62224c36,20.0,20.0,TSUGAMI,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Fortune Knock Technology Ltd.,danielwu@fortuneknock.com,8613715133691,Manufacturer,"A1103-2, Building#4,Tianan Cyber Park",Shenzhen,Longgang Town,Guangdong,518172,0,3185735,CNC Machining,Turning,Conventional Lathe,9c2ebff0-f1c2-4669-8004-f6bf7782cb6e,20.0,15.0,MINGYANG,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Fortune Knock Technology Ltd.,danielwu@fortuneknock.com,8613715133691,Manufacturer,"A1103-2, Building#4,Tianan Cyber Park",Shenzhen,Longgang Town,Guangdong,518172,0,3185735,CNC Machining,Turning,Conventional Lathe,d25c4096-b140-4bf6-80f9-bc43fdb3278d,200.0,300.0,SHUOFANG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Datta Engineering,datta_engg@hotmail.com,9742350408,Manufacturer,"27/28, Opp Corporation Nursery, Hosapalya",Bangalore,,Karnataka,560068,0,29AACPE1233D1ZE,CNC Machining,CNC Machining,CNC Turning Lathe,8d0cebda-f58d-44ad-bb72-90669a3a4e65,250.0,400.0,ACE ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Datta Engineering,datta_engg@hotmail.com,9742350408,Manufacturer,"27/28, Opp Corporation Nursery, Hosapalya",Bangalore,,Karnataka,560068,0,29AACPE1233D1ZE,CNC Machining,CNC Machining,Vertical Milling Centre,a0937ea6-012c-4e0d-ab7c-59d285d6e863,,,BFW,2,500.0,500.0,3,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Datta Engineering,datta_engg@hotmail.com,9742350408,Manufacturer,"27/28, Opp Corporation Nursery, Hosapalya",Bangalore,,Karnataka,560068,0,29AACPE1233D1ZE,CNC Machining,Turning,Conventional Lathe,93178be0-c703-4531-b3ee-4db0c7df83f3,150.0,350.0,Gee Dee Weiler,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Datta Engineering,datta_engg@hotmail.com,9742350408,Manufacturer,"27/28, Opp Corporation Nursery, Hosapalya",Bangalore,,Karnataka,560068,0,29AACPE1233D1ZE,CNC Machining,Turning,Conventional Lathe,61ed0a2a-e8ac-486c-91c7-3191733f9ff4,400.0,1000.0,PSG,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Datta Engineering,datta_engg@hotmail.com,9742350408,Manufacturer,"27/28, Opp Corporation Nursery, Hosapalya",Bangalore,,Karnataka,560068,0,29AACPE1233D1ZE,CNC Machining,Grinding,Cylindrical Grinding,d5946cd3-6990-4cd0-8d86-87ea25bc95dc,,,Parishud,1,300.0,150.0,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Datta Engineering,datta_engg@hotmail.com,9742350408,Manufacturer,"27/28, Opp Corporation Nursery, Hosapalya",Bangalore,,Karnataka,560068,0,29AACPE1233D1ZE,CNC Machining,Grinding,Surface Grinding,b64e1c54-5025-4698-b1ed-ae559ec34ea2,,,Parishud,1,500.0,250.0,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Karkhana User,deepanjalimetals@gmail.com,7057850599,,,,,,,0,,Casting,Casting,Sand Casting,b15cce10-543e-4a50-a25c-01cc569c5c4b,,,200*200*400,Na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Karkhana User,deepshrma19@gmail.com,8169214948,Individual,Ashok Nagar,angalore,,Karnataka,560036,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Koonze,derek@koonze-rapid.com,+8615622514566,Manufacturer,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,shenzhen,China",Shenzhen,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,",Guangdong,518125,0,,CNC Machining,CNC Machining,CNC Turning Lathe,2878a9db-1162-452c-96c4-96fa265feb9e,625.0,800.0,"FANUC, XQSK",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Koonze,derek@koonze-rapid.com,+8615622514566,Manufacturer,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,shenzhen,China",Shenzhen,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,",Guangdong,518125,0,,CNC Machining,CNC Machining,Vertical Milling Centre,78b87770-3470-4509-bc80-9480f77c1481,,,"FANUC, XQSK",2,500.0,260.0,4,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Koonze,derek@koonze-rapid.com,+8615622514566,Manufacturer,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,shenzhen,China",Shenzhen,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,",Guangdong,518125,0,,CNC Machining,CNC Machining,Vertical Milling Centre,a563d782-8ad7-43ba-8d57-af9bd1502897,,,"FANUC, XQSK",5,300.0,300.0,5,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Koonze,derek@koonze-rapid.com,+8615622514566,Manufacturer,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,shenzhen,China",Shenzhen,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,",Guangdong,518125,0,,CNC Machining,CNC Machining,Vertical Milling Centre,1a00e1bb-30a1-444d-8054-6e46fe634475,,,"FANUC, XQSK",65,3000.0,1200.0,3,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Koonze,derek@koonze-rapid.com,+8615622514566,Manufacturer,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,shenzhen,China",Shenzhen,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,",Guangdong,518125,0,,CNC Machining,CNC Machining,Horizontal Milling Centre,45320b32-f6dc-47a7-8f15-3b83df2c0fe6,,,"FANUC, XQSK",30,3000.0,1200.0,"3,4,5",600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Koonze,derek@koonze-rapid.com,+8615622514566,Manufacturer,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,shenzhen,China",Shenzhen,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,",Guangdong,518125,0,,Sheet Metal,Cutting,Laser Cutting,04d606c3-0532-4d3e-b36a-94f0ba22aac5,,,Japanese  MITSUBISHI  ML3015eX- 35CF-R,2,3300.0,1550.0,,,,,,,,,,,,gas,0.1,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Koonze,derek@koonze-rapid.com,+8615622514566,Manufacturer,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,shenzhen,China",Shenzhen,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,",Guangdong,518125,0,,Sheet Metal,Sheet Metal,Bandsaw Machine,c67c60bb-07d7-4a7c-8c59-92e10ee200c0,,,XQSK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Koonze,derek@koonze-rapid.com,+8615622514566,Manufacturer,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,shenzhen,China",Shenzhen,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,",Guangdong,518125,0,,Sheet Metal,Sheet Metal,Clinching,5d7a04ad-0732-4ade-8e00-7c8bef665547,,,XQSK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Koonze,derek@koonze-rapid.com,+8615622514566,Manufacturer,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,shenzhen,China",Shenzhen,"3rd floor,building D,23 nanling road,xiner community, xinqiao street,baoan district,",Guangdong,518125,0,,CNC Machining,Grinding,Cylindrical Grinding,025ad70a-c384-4369-bb2e-1b90c29dd080,,,WANGPAN,5,400.0,160.0,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Karkhana User,design.hakkeindustries@gmail.com,7338248855 ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,STANZEN ENGNEERING PVT LTD,design.sepl@stanzen.com,919952220083,Manufacturer,"3rd Main Rd, Ganapathy Nagar, ",BANGALORE ,"Phase 3, Peenya,",Karnataka,560058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Talegaonkar Profiles Pvt Ltd,design1@tpplpune.com,919146623794,,,,,,,0,,Sheet Metal,Cutting,Laser Cutting,b8482f8e-20f3-4c65-bf30-9bcf4420d78a,,,TRUMPF,2,2000.0,4000.0,,,,,,,,,,,,"CO2, Nitrogen",1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Saurashtra forge ,dev_bhojani@saurashtraforge.com,+917046165802,Manufacturer,"Shed 3485, GIDC phase 3 ",Jamnagar ,,Gujarat ,361004,0,24ACHPB0113G1ZJ,CNC Machining,Turning,Conventional Lathe,7b5d2767-19c7-4de7-9570-baec9085cc4a,200.0,200.0,Jyoti ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Nisaad Products & Solutions,development.nps@gmail.com,918830849525,Manufacturer,"Gat No 709, A/P- Velu,",Pune,,Maharashtra,412205,0,27CGCPG8288G1Z3,Injection Molding,Injection Molding,Reciprocating Screw,ec28b766-1df4-4ee0-914e-ac1e677f8599,,,ferromatik & other,4,,,,,,,,,,,,,,,,,,,,,,,,,5,10,38,400,Horizontal,150,5,80T to 200T,Hydraulic toggle,1961KN,400,5,,,,,,,
229,Global Infotech ,dhananjaychauhan@ymail.com,919328701611,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Karkhana User,dharmiksojitra1@gmail.com,9825141598,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,LIFE ORTHO CARE,dhvanil.lifeorthocare@gmail.com,919601423377,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Dias Engineering works,diasengineeringworks@gmail.com,9890829853,Manufacturer,"Gala No. F/7&8, Arman Estate",Vasai E,"Opp R.K Company, Golani,Waliv ",Maharashtra,401208,0,27BIZPS0830E1ZW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Karkhana User,dir_prod@jarshsafety.com,9440913987,Manufacturer,"Plot no 29,4th floor , Panchavati colony, Bowenpally ",Hyderabad ,Centerpoint,Telangana ,500009,0,36AADCJ8303K1ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,SG Global Consultancy,director@sgglobal.org.in,919922401750,,,,,,,0,,Fabrication,Fabrication,CO2,bfe5564f-7ae1-493f-b147-0c3c54b9732c,,,MOGORA 400 AMP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,SG Global Consultancy,director@sgglobal.org.in,919922401750,,,,,,,0,,Sheet Metal,Cutting,Laser Cutting,e5089707-57e8-4697-8568-641d00145291,,,BODOR,1,4000.0,2000.0,,,,,,,,,,,,"OXYGEN, NITROGEN & AIR",1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,SG Global Consultancy,director@sgglobal.org.in,919922401750,,,,,,,0,,CNC Machining,CNC Machining,Vertical Milling Centre,50a952c2-f345-4b27-924b-34f24b917c9d,,,JYOTI,1,2200.0,1200.0,3,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,V-Transsystem Technology Pvt. Ltd.,director@vtranssystem.com,9011550230,Company,"Plot No. A-44/1/2/17, Chakan MIDC PH-II, At Post Vasuli, Taluka Khed",Pune,,Maharashtra,410501,0,27AAHCV7480K1ZN,Sheet Metal,Sheet Metal,Laser Cutting,683e4a0f-8d97-430e-aafd-3585ba57d5c6,,,F-Pro-6525,,2500.0,6500.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,No,25,25,25
238,D K Robotics automation ,dkrobotics9522@gmail.com,919423216624,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Zenith Precision Private Limited,dpinto@zenithprecision.in,919845022756,,,,,,,0,29AAACZ0465H1Z6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,D-tech industrial engineers ,dtechindengg@gmail.com,9702796909,COMPANY,"PLOT NO RTC-8 , TTC INDUSTRIAL AREA , MIDC RABALE",NAVI MUMBAI,THANE BELAPUR ROAD,Maharashtra,400701,0,,CNC Machining,CNC Machining,CNC Turning Lathe,41e4cef6-1986-443e-b41c-075f0b1eb8e6,250.0,450.0,"Ace Designers, LMW",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,D-tech industrial engineers ,dtechindengg@gmail.com,9702796909,COMPANY,"PLOT NO RTC-8 , TTC INDUSTRIAL AREA , MIDC RABALE",NAVI MUMBAI,THANE BELAPUR ROAD,Maharashtra,400701,0,,CNC Machining,CNC Machining,Vertical Milling Centre,617bf4fc-d5aa-463c-91bb-b0aa9493fa71,,,BFW,3,810.0,400.0,3,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,D-tech industrial engineers ,dtechindengg@gmail.com,9702796909,COMPANY,"PLOT NO RTC-8 , TTC INDUSTRIAL AREA , MIDC RABALE",NAVI MUMBAI,THANE BELAPUR ROAD,Maharashtra,400701,0,,CNC Machining,Turning,Conventional Lathe,b48ef97a-b617-4169-8af2-36082b57a3e7,300.0,1000.0,Nortongear,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,D-tech industrial engineers ,dtechindengg@gmail.com,9702796909,COMPANY,"PLOT NO RTC-8 , TTC INDUSTRIAL AREA , MIDC RABALE",NAVI MUMBAI,THANE BELAPUR ROAD,Maharashtra,400701,0,,CNC Machining,CNC Machining,Vertical Milling Centre,90f15565-1727-436c-a339-897addcfc172,,,"TOS, Prostar, BFW, Microcut",4,800.0,400.0,3,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,D-tech industrial engineers ,dtechindengg@gmail.com,9702796909,COMPANY,"PLOT NO RTC-8 , TTC INDUSTRIAL AREA , MIDC RABALE",NAVI MUMBAI,THANE BELAPUR ROAD,Maharashtra,400701,0,,CNC Machining,Drilling,Bench Drill,0732d068-e5b4-42b4-b472-0b5d1300dedc,,,Rajkot,3,,,,,,,,0.0,0.0,31.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,D-tech industrial engineers ,dtechindengg@gmail.com,9702796909,COMPANY,"PLOT NO RTC-8 , TTC INDUSTRIAL AREA , MIDC RABALE",NAVI MUMBAI,THANE BELAPUR ROAD,Maharashtra,400701,0,,CNC Machining,Grinding,Surface Grinding,a05ec640-8854-46a5-83fb-6ddae3c8afd2,,,John Shipman,1,450.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,M/S DUTTA ENTERPRISES,duttaenterprisesamta@gmail.com,919378179141,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Glorious Electronics India Pvt. Ltd.,ea@glorioustoshi.com,+919873809090,Manufacturer,"PLOT NO. 39-40, SHED NO. 45-48, INDUSTRIAL AREA",NIT Faridabad,,Haryana,121001,0,06AACCG4373P2Z6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,EAGLE INDIA ENGINEERING,eagle.ind2020@gmail.com,919970574950,Manufacturer,Gat No. 162/B Tower Line ,Pune,"Triveninagar, Talawade",Maharashtra,411062,0,27CEMPP1441L1Z4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,VVS Engineering,edachi75@gmail.com,918904190504,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Ellan Engineers,ellanengineers@gmail.com,+919964328118,Manufacturer,No 22 GDP Nilaya ,bangalore,2nd Main 3rd cross chamundeshwary Layout vidyaranyapura,Karnataka,560097,0,29BBFPP8916F1Z9,CNC Machining,Turning,VTL,6161b675-4563-4769-a58f-44a9fc331bcd,160.0,500.0,BFW,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Ellan Engineers,ellanengineers@gmail.com,+919964328118,Manufacturer,No 22 GDP Nilaya ,bangalore,2nd Main 3rd cross chamundeshwary Layout vidyaranyapura,Karnataka,560097,0,29BBFPP8916F1Z9,CNC Machining,CNC Machining,CNC Turning Lathe,bdcbabf4-3b21-489f-81bf-9808337e3f0e,160.0,500.0,BFW,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Ellan Engineers,ellanengineers@gmail.com,+919964328118,Manufacturer,No 22 GDP Nilaya ,bangalore,2nd Main 3rd cross chamundeshwary Layout vidyaranyapura,Karnataka,560097,0,29BBFPP8916F1Z9,CNC Machining,CNC Machining,Vertical Milling Centre,ef2bcf15-c714-4a0e-9b1d-715fbbd58cf4,,,STM,1,610.0,460.0,3 Axes,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Karkhana User,enggsales@3dincredible.com, 7030940790,,,,,,,0,,3D Printing,DMLS,DMLS,8bfe8adb-57b3-4707-aa6d-d63bda9e6f9a,,,Reinsaw,2,250.0,250.0,,300.0,,,,,,,,,,,,,,,0.04,0.2,,,,,,,,,,,,,,,,,,,,,,,
254,Karkhana User,engineering@crennovations.com,8879881109 ,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Sudarshan Gears,enquiry@sudarshangears.com,+919768860767,Manufacturer,"PLOT NO - 17 , MIRA IND. ESTATE,B/H SBI Bank, NH 08 Highway,Near Kashimira, Mira Road (E)","MIRAROAD , DIST. THANE","SUDARSHAN GEARS ,",Maharashtra,401104,0,27AACFS4820Q1ZR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,EXCELCAM SOLUTIONS,excelcam@gmail.com,919686552264,Manufacturer,V 18 and 19/5,Bangalore,"3RD CROSS,4TH MAIN",KARNATAKA,560058,0,29AACFE5152F1ZL,CNC Machining,CNC Machining,Vertical Milling Centre,351f3510-039b-4037-bf97-a18499145368,,,DMG,1,630.0,500.0,3,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,EXCELCAM SOLUTIONS,excelcam@gmail.com,919686552264,Manufacturer,V 18 and 19/5,Bangalore,"3RD CROSS,4TH MAIN",KARNATAKA,560058,0,29AACFE5152F1ZL,CNC Machining,CNC Machining,Vertical Milling Centre,73bd8c39-4a66-4a81-8597-3776ade3b5ca,,,LERINC,1,800.0,500.0,3,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,EXCELCAM SOLUTIONS,excelcam@gmail.com,919686552264,Manufacturer,V 18 and 19/5,Bangalore,"3RD CROSS,4TH MAIN",KARNATAKA,560058,0,29AACFE5152F1ZL,CNC Machining,CNC Machining,Vertical Milling Centre,2b4f4941-b6e1-45a7-8f97-20b886f4406d,,,BFW,1,850.0,350.0,3,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,EXCELCAM SOLUTIONS,excelcam@gmail.com,919686552264,Manufacturer,V 18 and 19/5,Bangalore,"3RD CROSS,4TH MAIN",KARNATAKA,560058,0,29AACFE5152F1ZL,CNC Machining,CNC Machining,Vertical Milling Centre,26ee675d-4006-4720-81e4-2997de733067,,,CAMPRO,1,1300.0,600.0,3,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,EXCELCAM SOLUTIONS,excelcam@gmail.com,919686552264,Manufacturer,V 18 and 19/5,Bangalore,"3RD CROSS,4TH MAIN",KARNATAKA,560058,0,29AACFE5152F1ZL,CNC Machining,CNC Machining,Vertical Milling Centre,d6b9f19f-56fb-4dfd-a1ee-9d58b7771b23,,,VLM,1,800.0,500.0,3,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,EXCELCAM SOLUTIONS,excelcam@gmail.com,919686552264,Manufacturer,V 18 and 19/5,Bangalore,"3RD CROSS,4TH MAIN",KARNATAKA,560058,0,29AACFE5152F1ZL,CNC Machining,Tapping,Pneumatic Tapping Machine,fd8d3d1c-0de2-4a5e-9869-445cffa7b288,,,TIGER RASCAMAT,1,,,,,,,,,,,,,,,,,,,,,3.0,30.0,20.0,5.0,,,,,,,,,,,,,,,,,,,
262,Fabulous Designs & Creations,fdaclaser@gmail.com,09620230424,Manufacturer,"No.9, (Old 19th) 16th cross, Doddanna Ind. state, Leggere,",Bangalore,opp. Maruthi waidg bridge,Karnataka,560058,0,29AELPG1273Q1ZW,CNC Machining,CNC Machining,Vertical Milling Centre,fdc69970-49be-4d6a-af32-1da1ca270a19,,,GERMAN,1,8000.0,3000.0,3,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Fabulous Designs & Creations,fdaclaser@gmail.com,09620230424,Manufacturer,"No.9, (Old 19th) 16th cross, Doddanna Ind. state, Leggere,",Bangalore,opp. Maruthi waidg bridge,Karnataka,560058,0,29AELPG1273Q1ZW,CNC Machining,CNC Machining,Vertical Milling Centre,b6eb6ff7-189c-4aac-bbea-3e9b3dd69600,,,GERMAN,1,4000.0,2000.0,3,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Fabulous Designs & Creations,fdaclaser@gmail.com,09620230424,Manufacturer,"No.9, (Old 19th) 16th cross, Doddanna Ind. state, Leggere,",Bangalore,opp. Maruthi waidg bridge,Karnataka,560058,0,29AELPG1273Q1ZW,CNC Machining,CNC Machining,Vertical Milling Centre,4a8dcd72-1f60-409d-8084-02e1403febb9,,,german,1,3000.0,1500.0,3,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Fabulous Designs & Creations,fdaclaser@gmail.com,09620230424,Manufacturer,"No.9, (Old 19th) 16th cross, Doddanna Ind. state, Leggere,",Bangalore,opp. Maruthi waidg bridge,Karnataka,560058,0,29AELPG1273Q1ZW,CNC Machining,CNC Machining,Vertical Milling Centre,fe39bc9c-6891-47c3-b3d9-2937823c4532,,,AMADA,1,6000.0,2000.0,3,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Fabulous Designs & Creations,fdaclaser@gmail.com,09620230424,Manufacturer,"No.9, (Old 19th) 16th cross, Doddanna Ind. state, Leggere,",Bangalore,opp. Maruthi waidg bridge,Karnataka,560058,0,29AELPG1273Q1ZW,CNC Machining,CNC Machining,Vertical Milling Centre,f390ce13-b2d6-460a-804c-21110184ad55,,,GERMAN,1,2500.0,1500.0,3,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Fabulous Designs & Creations,fdaclaser@gmail.com,09620230424,Manufacturer,"No.9, (Old 19th) 16th cross, Doddanna Ind. state, Leggere,",Bangalore,opp. Maruthi waidg bridge,Karnataka,560058,0,29AELPG1273Q1ZW,CNC Machining,CNC Machining,Vertical Milling Centre,575ea7fb-b9dd-4bc3-b330-096cd0156415,,,CHINA,1,2400.0,1220.0,3,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,FDMPRINTS.IN,fdmprints.in@gmail.com,918237330698,,,,,,,0,,3D Printing,FDM,FDM,a4d8e7f7-b7d8-4387-bf96-7d993df1e2f0,,,Creality,1,220.0,220.0,,270.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
269,"Xi'an Bright Laser technologies Co., ltd.",fengyu@xa-blt.com,8618066595303,Manufacturer,"No. 1000 Shanglinyuan 7th Road, Hi-tech District, Xi'an, Shaanxi Province,China ",Xi'An,No. 1000 Shanglinyuan 7th Road,China, 710117,0,,3D Printing,DMLS,DMLS,02ce0010-515d-4a68-8434-6630715e3319,,,BLT,300+,,,,,,,,,,,,,,,,,,,,0.05mm,,,,,,,,,,,,,,,,,,,,,,,
270,Fine Technologies,fineteq@hotmail.com,919886188176,Manufacturer,No 114 11th cross 4th main ,Bangalore,Malleshwaram,Karnataka,560003,0,29APYPA7572C1ZH,CNC Machining,CNC Machining,Vertical Milling Centre,9348653c-7b78-4062-9b3b-8e25605b1abe,,,Makino S33,2,600.0,400.0,3,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Fine Technologies,fineteq@hotmail.com,919886188176,Manufacturer,No 114 11th cross 4th main ,Bangalore,Malleshwaram,Karnataka,560003,0,29APYPA7572C1ZH,CNC Machining,CNC Machining,Vertical Milling Centre,464cdf60-e456-40b5-94bc-5bab2973cafc,,,Jyoti 850D,1,1000.0,530.0,4,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Karkhana User,forge@millenniumforging.com,9825076070,,,,,,,0,,Forging,Forging,Down Stroke,1a578098-1ffa-4bfb-9819-ed391d543b79,,,Na,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
